event	timestamp	distinct_id	city	current_url	initial_referrer	initial_referring_domain	os	referrer	referring_domain	region	Course	LatestUTMCampaign	LatestUTMContent	LatestUTMMedium	LatestUTMSource	PageTitle	UserRequestedDataAnalyticsInfo	userstartedDataAnalyticsapplication	utm_campaign	utm_content	utm_medium	utm_source	utm_term
scroll	1472688322	6248	Bengaluru	https://company.com/programs/data-analytics/?utm_source=institution&utm_medium=referral&utm_campaign=institution_Website&utm_content=institution_Website&utm_term=institution_Website%3Ehttps://company.com/programs/data-analytics?utm_source=institution&utm_medium=referral&utm_campaign=III	http://www.institution.ac.in/programs/pg-diploma-data-analytics	www.institution.ac.in	Windows	http://www.institution.ac.in/programs/pg-diploma-data-analytics	www.institution.ac.in	Karnataka		institution_Website	institution_Website	referral	institution	Data Analytics Program Page			institution_Website	institution_Website	referral	institution	institution_Website>https://company.com/programs/data-analytics?utm_source=institution
Page Viewed	1472704153	465074	Bengaluru	https://company.com/programs/product-management/?utm_source=Facebook&utm_medium=Paid_Social&utm_campaign=PM_Sep_2016_CTWD&utm_term=TakeTheFirstStep-1_PM_Sep_2016_CTWD_PMLookalike1_31_40_LinkAd_18Aug2016&utm_content=PM_Sep_2016_CTWD_PMLookalike1_31_40&utm_i	https://www.facebook.com/	www.facebook.com	Windows	https://www.facebook.com/	www.facebook.com	Karnataka	Product Management	PM_Sep_2016_CTWD	PM_Sep_2016_CTWD_PMLookalike1_31_40	Paid_Social	Facebook	Product Management Program Page			PM_Sep_2016_CTWD	PM_Sep_2016_CTWD_PMLookalike1_31_40	Paid_Social	Facebook	TakeTheFirstStep-1_PM_Sep_2016_CTWD_PMLookalike1_31_40_LinkAd_18Aug2016
Show More Syllabus Click	1472704253	189559	Bengaluru	https://company.com/programs/product-management/?utm_source=Facebook&utm_medium=Paid_Social&utm_campaign=PM_Sep_2016_CTWD&utm_term=TakeTheFirstStep-1_PM_Sep_2016_CTWD_PMLookalike1_31_40_LinkAd_18Aug2016&utm_content=PM_Sep_2016_CTWD_PMLookalike1_31_40&utm_i	https://www.facebook.com/	www.facebook.com	Windows	https://www.facebook.com/	www.facebook.com	Karnataka	Product Management	PM_Sep_2016_CTWD	PM_Sep_2016_CTWD_PMLookalike1_31_40	Paid_Social	Facebook	Product Management Program Page			PM_Sep_2016_CTWD	PM_Sep_2016_CTWD_PMLookalike1_31_40	Paid_Social	Facebook	TakeTheFirstStep-1_PM_Sep_2016_CTWD_PMLookalike1_31_40_LinkAd_18Aug2016
Page Viewed	1472704837	11417	Menlo Park	https://company.com/data-analytics/?ref=NITI818	http://l.facebook.com/lsr.php?u=https%3A%2F%2Fcompany.com%2Fdata-analytics%3Fref%3DNITI818&ext=1472685331&hash=AcmKYyC09Z_OXT80mOOZ9fbxFeR2xN1XBmhvnDQHZWS43g	l.facebook.com	Windows	http://l.facebook.com/lsr.php?u=https%3A%2F%2Fcompany.com%2Fdata-analytics%3Fref%3DNITI818&ext=1472685331&hash=AcmKYyC09Z_OXT80mOOZ9fbxFeR2xN1XBmhvnDQHZWS43g	l.facebook.com	California	Data Analytics					Data Analytics Marketing Page							
Page Viewed	1472705271	58434		https://company.com/programs/product-management/?utm_source=google&utm_medium=display&utm_campaign=PM_Display_Remarketing&utm_content=PM_App_Start&utm_term=GDN_Gif-300x250.gif&gclid=CJy0wOrk7M4CFROBfgodHA0MeQ	http://localhost//creativescan/CreativeDataFile_18025569_2016-08-31_16-17-24.html	localhost	Linux	http://localhost//creativescan/CreativeDataFile_18025569_2016-08-31_16-17-24.html	localhost		Product Management	PM_Display_Remarketing	PM_App_Start	display	google	Product Management Program Page			PM_Display_Remarketing	PM_App_Start	display	google	GDN_Gif-300x250.gif
Page Viewed	1472705313	327053	Thornbury	https://company.com/programs/product-management/	$direct	$direct	iOS			Victoria	Product Management					Product Management Program Page							
Page Viewed	1472705335	153932	Mumbai	https://company.com/	http://edtechreview.in/trends-insights/trends/2129-education-technology-india-funding	edtechreview.in	Android	http://edtechreview.in/trends-insights/trends/2129-education-technology-india-funding	edtechreview.in	Maharashtra						Home Page							
Page Viewed	1472705417	205453	Mumbai	https://company.com/programs/digital-marketing/	http://edtechreview.in/trends-insights/trends/2129-education-technology-india-funding	edtechreview.in	Android	https://company.com/	company.com	Maharashtra	Digital Marketing					Digital Marketing Program Page							
Page Viewed	1472705527	347853	Mumbai	https://company.com/	http://edtechreview.in/trends-insights/trends/2129-education-technology-india-funding	edtechreview.in	Android	http://edtechreview.in/trends-insights/trends/2129-education-technology-india-funding	edtechreview.in	Maharashtra						Home Page							
Page Viewed	1472705551	385018	Mumbai	https://company.com/programs/product-management/	http://edtechreview.in/trends-insights/trends/2129-education-technology-india-funding	edtechreview.in	Android	https://company.com/	company.com	Maharashtra	Product Management					Product Management Program Page							
